Instruction,Output,input_text
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",In0.4Ga0.6As/PbTe,"A twelve-well period has been successfully integrated into the QCL, utilizing a unique material system of In0.4Ga0.6As/PbTe."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",70 Mw,"A 130-mm-wide laser with a length of 1.5 mm operated at 18K and had a threshold current density of 400 A/cm2, producing an optical power of 70mW in cw operation."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO-phonon,"Our experimental results show that by increasing the operating temperature to 100 degrees Celsius and doubling the duty cycle to 0.8, direct LO-phonon-based depopulation becomes an effective technique for generating quantum cascade lasers operating in the long-wavelength THz range."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",InP/GaAs,"For eight wafers based on InP/GaAs heterostructures for lasers with target frequencies of 2.65 and 2.98 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",150 K,"Researchers have achieved a breakthrough in laser technology with the development of a 150 K heat-sink temperature terahertz quantum-cascade laser, paving the way for new applications."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",InAs/Al0.005Ga0.995As,"The heterostructure in our laser is made of InAs/Al0.005Ga0.995As, resembling Ref [11], but with a 0.5% expansion in all layer thicknesses."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",SiC/SiGe ,"For eleven wafers based on SiC/SiGe heterostructures for lasers with target frequencies of 3.22 and 4.11 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.3Ga0.7As,"To effectively suppress leakage current, the chosen quantum cascade module of the device is based on a four-well GaAs/Al0.3Ga0.7As structure."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.15Ga0.85 As,"Our laser structure is based on GaAs/Al0.15Ga0.85 As heterostructure, which is similar to Ref. [6] except that all layer thicknesses are expanded approximately 2%.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",45 mW,"At 45 K, the threshold current-density was measured as ~3500 A/cm2 with a peak-power output of ~45 mW."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2 to 4 THz.,The spectrometer revealed a wide range of emissions spanning from 2 to 4 THz.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",11.2 Mw,"When operated at 25 K, the threshold current density is measured at 700 A/cm2, while the peak power shows an increase to 11.2 mW."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.15Ga0.85As,"The QCL operates by utilizing a four-well structure fabricated within the GaAs/Al0.15Ga0.85As material system.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",15.0 Mw,"A 200-mm-wide and 2-mm-long laser, operating continuously at 125K, achieved an optical power of 15.0mW with a threshold current density of 1500 A/cm2."
